,ear,Month,A,B,C,I,period
0,2013,1,23326.0,2160.0,16043.0,311453,2013-1
1,2013,2,21981.0,1070.0,11967.0,235109,2013-2
2,2013,3,31512.0,1680.0,15026.0,283912,2013-3
3,2013,4,34790.0,1703.0,20450.0,333738,2013-4
4,2013,5,38670.0,2522.0,21413.0,316233,2013-5
5,2013,6,31310.0,2429.0,20024.0,318619,2013-6
6,2013,7,32234.0,3326.0,21505.0,342306,2013-7
7,2013,8,21828.0,3225.0,19868.0,329143,2013-8
8,2013,9,29470.0,3021.0,20394.0,309872,2013-9
9,2013,10,42311.0,3152.0,20757.0,330202,2013-10
10,2013,11,31345.0,3052.0,18046.0,302938,2013-11
11,2013,12,41650.0,4011.0,21490.0,353843,2013-12
12,2014,1,28750.0,2655.0,15451.0,312618,2014-1
13,2014,2,31520.0,2145.0,12510.0,259328,2014-2
14,2014,3,33423.0,2256.0,12597.0,240808,2014-3
15,2014,4,35640.0,2746.0,17184.0,293240,2014-4
16,2014,5,45210.0,3198.0,17568.0,293362,2014-5
17,2014,6,33655.0,3478.0,15641.0,263564,2014-6
18,2014,7,32318.0,4189.0,18314.0,294768,2014-7
19,2014,8,29835.0,3498.0,16661.0,272492,2014-8
20,2014,9,33924.0,3554.0,18140.0,296294,2014-9
21,2014,10,52110.0,4787.0,18618.0,306859,2014-10
22,2014,11,39540.0,4698.0,17692.0,294651,2014-11
23,2014,12,55326.0,5014.0,19625.0,370028,2014-12
24,2015,1,25435.0,2188.0,12382.0,253803,2015-1
25,2015,2,23690.0,1977.0,9530.0,185944,2015-2
26,2015,3,35330.0,3278.0,12275.0,234630,2015-3
27,2015,4,31368.0,3146.0,12345.0,219351,2015-4
28,2015,5,35510.0,3260.0,12060.0,212696,2015-5
29,2015,6,31610.0,3758.0,11780.0,212524,2015-6
30,2015,7,29569.0,3140.0,12306.0,227617,2015-7
31,2015,8,25166.0,3498.0,12973.0,207250,2015-8
32,2015,9,22169.0,3604.0,10122.0,200077,2015-9
33,2015,10,31760.0,3705.0,11140.0,192147,2015-10
34,2015,11,33210.0,4140.0,10183.0,195176,2015-11
35,2015,12,38432.0,3350.0,11737.0,227760,2015-12
36,2016,1,18935.0,2254.0,7518.0,155283,2016-1
37,2016,2,19513.0,3798.0,7381.0,146809,2016-2
38,2016,3,29339.0,4102.0,8779.0,179219,2016-3
39,2016,4,23415.0,3607.0,9303.0,162938,2016-4
40,2016,5,31314.0,4108.0,9385.0,167489,2016-5
41,2016,6,32363.0,4593.0,10103.0,171797,2016-6
42,2016,7,31919.0,5367.0,10192.0,181408,2016-7
43,2016,8,32611.0,5805.0,10200.0,183890,2016-8
44,2016,9,29143.0,5679.0,9571.0,159961,2016-9
45,2016,10,31840.0,6060.0,8908.0,159037,2016-10
46,2016,11,33833.0,5793.0,9529.0,178155,2016-11
47,2016,12,38625.0,7013.0,11903.0,204329,2016-12
48,2017,1,21564.0,4187.0,7310.0,147216,2017-1
49,2017,2,23883.0,5139.0,7510.0,135664,2017-2
50,2017,3,38144.0,6972.0,11734.0,189148,2017-3
51,2017,4,29123.0,6247.0,11937.0,156886,2017-4
52,2017,5,42541.0,8147.0,14553.0,195562,2017-5
53,2017,6,41175.0,7601.0,15598.0,194954,2017-6
54,2017,7,31612.0,5730.0,15987.0,184815,2017-7
55,2017,8,36161.0,9714.0,18831.0,216534,2017-8
56,2017,9,35134.0,7655.0,20295.0,199211,2017-9
57,2017,10,42191.0,9310.0,18190.0,202857,2017-10
58,2017,11,39829.0,10410.0,17601.0,204205,2017-11
59,2017,12,33591.0,10987.0,18262.0,212615,2017-12
60,2018,1,25451.0,5439.0,13014.0,181285,2018-1
61,2018,2,26346.0,6278.0,11894.0,156918,2018-2
62,2018,3,36113.0,9754.0,15677.0,207386,2018-3
63,2018,4,35781.0,9432.0,16495.0,217366,2018-4
64,2018,5,37950.0,8741.0,15784.0,201915,2018-5
65,2018,6,33750.0,7895.0,16972.0,201992,2018-6
66,2018,7,31233.0,11785.0,17327.0,217524,2018-7
67,2018,8,37232.0,12547.0,19770.0,248656,2018-8
68,2018,9,34942.0,10473.0,16468.0,213357,2018-9
69,2018,10,43523.0,8471.0,20372.0,254756,2018-10
70,2018,11,47193.0,11950.0,18218.0,230972,2018-11
71,2018,12,44584.0,10245.0,17957.0,234558,2018-12
72,2019,1,30281.0,4587.0,15029.0,199810,2019-1
73,2019,2,34454.0,5894.0,15732.0,198648,2019-2
74,2019,3,44874.0,11475.0,16044.0,209190,2019-3
75,2019,4,49201.0,10798.0,17681.0,231962,2019-4
76,2019,5,53698.0,8749.0,19187.0,245463,2019-5
77,2019,6,47589.0,9743.0,17842.0,223206,2019-6
78,2019,7,33956.0,14803.0,21416.0,243634,2019-7
79,2019,8,31458.0,13546.0,21322.0,242999,2019-8
80,2019,9,34102.0,11859.0,19106.0,234867,2019-9
81,2019,10,39547.0,13654.0,22541.0,272953,2019-10
82,2019,11,,,,233986,2019-11
83,2019,12,,,,270542,2019-12
84,2020,1,,,,236528,2020-1
85,2020,2,,,,212318,2020-2
86,2020,3,,,,271510,2020-3
87,2020,4,,,,261812,2020-4
88,2020,5,,,,241101,2020-5
89,2020,6,,,,253233,2020-6
90,2020,7,,,,282742,2020-7
91,2020,8,,,,266879,2020-8
92,2020,9,,,,281014,2020-9
93,2020,10,,,,278075,2020-10
94,2020,11,,,,254927,2020-11
95,2020,12,,,,313697,2020-12
